Ticker,2013-12-31,2014-12-31,2015-12-31,2016-12-31,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31,2022-12-31,2023-12-31,2024-12-31
BAX,15735136729.670162,17056916915.679474,16703027034.694462,19639302952.627373,28927765652.870636,29763176930.81749,38215192962.39338,37087224976.88141,40231475200.96241,24307320835.779133,18982592661.366634,14731307777.42054
BBY,5548402893.984861,5552575360.970907,4506986471.851215,6605214004.145393,10864593493.54002,8622755674.661007,14701987977.60292,17159308149.331398,17921061485.318985,14786033613.028336,15157469733.840294,17332857449.412918
BDX,25797633397.637627,33091472814.027145,37270733637.04643,40708715014.86293,53426973596.41293,56960981474.31128,69608016173.83209,64906566427.33984,66127291719.6219,69488061773.31538,67633148713.77753,63996593315.95665
BEN,18209037069.040375,17781457794.833908,11999930223.44387,13170293620.380821,14695524304.617233,11265853653.036804,10219694353.174553,10368891301.560287,14400430394.296303,11878088085.957527,13892936001.05999,10112982867.203522
BF-B,7541487568.486452,8881029813.183784,10173101321.323872,9337575821.75827,14474419693.756104,12931002000.146866,18592428926.624775,22063870223.576546,20725028096.238136,18889121174.87955,16640414866.75167,11276845313.529491
BG,11414523545.886066,12839485088.89331,9817573317.3932,10670816998.155735,10162621703.6852,8334810139.688763,9315401377.681126,11078325050.653584,16160141536.795341,17659257613.71544,18329058203.402817,14527936316.380432
BIIB,41013555257.51953,49798088021.19922,44942241922.59961,41601828323.88086,46734943865.51953,44145649660.11914,43530966782.2793,35921518411.45996,35196808829.62012,40624795132.11914,37962145313.7207,22433711165.620117
BK,18202689156.442017,21534069869.222717,22243001398.640717,26035284169.92453,30116416809.720657,26849891182.85884,29415912717.225998,25619222034.64737,36008280570.86018,29116124205.83844,34507130068.01129,52416492280.07547
BKNG,36935899154.37378,36230804125.20813,40512243289.4989,46584874474.11255,55217658315.05859,54730853734.471436,65258412991.72119,70772740492.67578,76236860049.36768,64036640442.090454,112714891082.56714,159274079235.35156
BKR,28776917930.289135,29506228840.765263,24569893851.18797,35088641667.80598,24932364162.999134,17346479717.226063,21338625712.983387,18105904576.737835,21551105973.135265,27146460269.774048,32189989625.187347,39630276891.61671
BLDR,788439555.1849432,759688578.8150568,1225232829.0433712,1213069003.0982008,2409550961.2295456,1206434121.8367424,2809852546.3367424,4512793662.469318,9477861496.270454,7174467791.561363,18460322462.11212,15805281632.413635
BLK,36632740404.06143,42382746348.73471,41384876194.23462,47442750254.2948,65565435133.4798,51402881562.95407,67782595031.972046,99779430252.37067,129106219086.0614,102772477271.10254,121129744567.14227,156610562388.2605
BMY,73914840388.44093,84395919631.67184,100647129849.1823,87068707481.35646,93780734562.88538,81687044195.33076,104345490101.83896,104772724571.3687,107790002488.64105,128249660551.22101,94718903095.01205,109689807744.6043
BR,3731990376.0213623,4462010062.169811,5306314499.59169,6678265405.952717,9289160657.181938,10019031174.42984,13083739632.191032,16522561911.40297,20012362551.056778,14956676740.080902,23366992121.678772,26089747572.94716
BRK-B,162761552328.22833,206128935491.82083,181267161936.62793,223742220388.8996,272120409628.38583,280302405926.185,310943761483.5,318315798926.70667,410473221561.0,424064132558.0708,489630035803.1575,622271910930.1141
BRO,4765753323.96389,5063437650.230255,5008853681.290655,7103208845.882149,8250660323.480072,8935605958.069324,12927261904.522934,15650380017.952995,23368327061.308365,19071949178.577232,23979408071.97464,34608117648.996506
BSX,17818953987.38811,19642357016.75,27336231990.86946,32065220059.45513,36749739504.02622,52389501884.46271,67036030813.20163,53293792433.06352,62974137138.11189,68592593823.13811,85699976310.41434,132411722471.07458
BX,12608339310.155666,14364305248.78443,13642161796.95946,13434110509.293095,17107570063.682316,17125198640.154476,33621239076.289917,40270215292.60298,83401888272.79971,50036548068.97447,91440462804.77444,123509254730.97386
BXP,9861948091.862183,13370934334.188652,13658977332.371521,13758282617.862282,14570811842.76432,12988671189.13433,16377017776.955223,11738008790.472107,14814771549.378662,9101321496.14645,10100485947.754154,11340886788.158798
C,69388121690.34576,72109417891.14572,69166203925.19543,80165927590.2963,101832064852.96854,72823905318.88757,114930973726.20099,92284543249.53989,93143758764.26994,72565785055.46404,86340842473.93445,122546589689.31104
CAG,8339889077.298151,9262341488.396776,11041594854.371881,13613778691.297525,13266603141.456379,7696900598.217693,12739024769.2733,13847168176.60156,13494636936.504925,15858790070.913769,12239281388.28519,12418290088.870668
CAH,11551253461.76117,14213446523.11232,15996438955.298721,13192173223.874695,11523592469.76136,8700027760.564407,10269585806.858116,11306232668.345512,11261425287.320755,17351774088.45311,23277012534.966858,27702098740.893814
CAT,31264505937.60608,32351416212.313522,24919122409.960865,35411540896.05272,61982100476.27289,51099222721.80373,61070548118.74246,77538758892.29997,89909051508.55728,106631081268.91534,134300560471.23431,167417236603.95676
CB,32201300988.46898,36855756305.71244,38420732890.89986,44410190115.72311,50102376402.84682,45275583449.38797,55660789867.2393,56445801807.11839,72165196904.14186,83690563445.34578,87202267434.46892,108031716502.08731
CBOE,4647186206.841362,5754081054.040642,5970692770.962822,6897220896.119293,11758735868.621063,9336641541.713242,11592029729.744736,9137633179.353333,12996596831.551193,12715590640.098236,18356916096.612396,20329087394.801758
CBRE,7826695594.054562,10192560147.25,10290766381.169052,9371203407.416368,12888753108.75179,11915623872.334526,18239475058.584526,18665033135.1127,32291816740.197227,22902756776.665474,27702931000.911896,39070982578.13014
CCI,20015174732.245445,21990882651.7939,25153800138.47191,26289405549.23458,34956008311.384735,35568616627.873764,48178005188.16261,55641616787.59071,75160257669.54025,50679221967.5148,45488897715.3479,38031891128.98041
CCL,39017870213.60741,45156991886.342255,55516094977.096985,54545417033.515564,71325822194.96005,54635588985.10726,58661459755.77847,25288938943.187374,23490926885.719444,9410381344.859722,21646212117.375755,29095123030.15631
CDNS,3816258144.6037292,5163652783.094406,5664502664.628983,6864909033.094406,11383445736.930847,11835299355.39627,18879861526.138306,37136380436.34033,50724658011.38306,43726368473.861694,74139385040.89355,81785510134.06372
CDW,2677854839.419899,4058244661.701927,4889025124.86351,6123586267.421799,8261741889.824982,9746792129.865112,17370835198.32733,16233571646.18988,25465483371.119995,22473442907.19818,28955885680.972595,22421848981.052856
CF,5245592258.224182,6259335219.836746,4788501419.269638,3867160451.413307,5423219998.402039,5701542489.754761,6427258574.472153,5414114178.88385,10134335636.676178,12393203623.037292,11805120239.149017,12994542328.882324
CHD,6744743505.927383,8168164370.100597,8938164585.180439,9450094408.518494,10898468669.542717,14520373474.992977,15735019753.43509,19740730171.74836,23471146207.974792,18680169126.510063,22176762829.731285,24829471692.374016
CHRW,5215127020.337898,6849467342.241524,5811242432.739876,7030768234.579071,8757745726.54831,8439824837.297058,8042370097.482178,9888229253.756866,11588044712.67398,10070623892.016525,9758157761.991165,11991632000.69986
CHTR,17698024183.29312,21562187931.03833,23694855704.452087,37259546396.39459,43476369495.56708,36877787186.99042,62773893521.60541,85610764497.59583,84371020559.72998,43882716800.45209,50298831429.057495,44357646962.08624
CI,21454045485.535217,25250954698.585938,35916667020.473145,32749911993.160156,49875788429.7406,46652291177.0166,50243559244.65222,51160662952.537964,57448228149.407104,84263961498.45361,77545675488.16357,72684512258.29272
CINF,5813377492.638016,5965950604.744778,7101059920.309502,9340511579.738148,9559025820.185955,10156876377.842033,14105080829.729576,12109908629.278564,16139613566.140755,14866156733.934837,15460678542.723083,22029144595.813385
CL,39791775426.71205,43134735317.377556,42460755510.45046,42647487656.895836,50274552461.79293,40626132465.92329,48181001840.92987,61271131939.60922,62546370316.74504,59143643716.64635,61380899495.9886,71549345519.50351
CLX,8033625043.481606,9313096588.605392,11643760144.807358,11295068354.157188,14360139931.647713,15301240444.201698,15642479698.268677,21032709186.803055,18613957169.344177,15449555973.080711,16220239272.026138,19094106009.826843
CMCSA,72363059205.02916,81819632414.5832,80936759005.1085,101160195237.77724,118819444993.2872,103716583031.0137,139024330756.4661,165625898105.44904,161946125490.5744,115503195031.64365,149087835675.75198,131435303186.66043
CME,17803248946.626892,21067376001.82939,22679259960.905365,30374454363.424995,40199092576.19798,53121213399.14531,58255979578.805695,54560304128.50955,70639081704.70009,54471002316.05823,71530960859.70148,82554617588.03896
CMG,14089664920.108795,18102250079.889297,12689902127.410889,9978438792.011261,7643560300.620079,11418928830.579758,22137843857.44095,36672321878.097534,46233450471.76361,36692949685.26077,60479938680.44281,79733362391.18195
CMI,14151443547.057419,14756781255.45922,9272007546.492683,14897928463.440926,19774935939.229828,15411661501.16784,21273879142.564285,27763171158.179184,27296980758.12799,31142032652.34018,31677424424.039246,47175427036.97928
CMS,5649514920.812435,7603956557.317085,8159703718.493347,9698106974.486456,11349793142.268486,12286496074.939175,15977319349.101143,15927442966.717949,17474681159.1259,17505863765.661488,16593596359.775639,19680298279.159546
CNC,7243746618.749619,12761035887.500763,16173399190.002441,13887840677.501678,24792167245.002747,28336013449.99695,30901736135.002136,29505824940.00244,40501083949.99695,40309392229.99573,36475550330.00183,29776161339.996338
CNP,9934244490.412918,10446130210.254911,8610322973.891457,12130679734.473965,14506528357.196035,15044315845.746328,15137272319.499641,12415441666.46815,16439421307.717443,18084109217.16179,17701097264.68325,20228125148.963024
COF,39268379898.96145,42987444769.4714,38297619262.77424,47397642943.134346,55124198393.34408,42574556474.54315,59015486384.32476,57447110356.04111,85780093296.84677,56106308643.756294,80971950486.98517,111936423940.32082
COO,6139072943.234381,8038672904.966942,6657898747.146923,8682205909.231564,10816974943.270138,12638135160.108105,15958069861.44239,18049017266.63109,20815252468.607567,16432320570.230743,18809312137.153336,18276504168.201668
COP,58904169497.02263,59794232259.5129,42449941606.09341,46750966489.645004,52336074145.157814,60515589575.95348,64527341822.5975,41274481025.12169,77018714658.53024,132234806522.54868,134857181813.30872,118448655095.90912
COR,9866628662.941116,12822081532.344246,14923125384.044228,11442714042.153912,13675499505.581223,11272769885.011948,13923253226.269814,17177179105.466827,24750357810.69877,31250344817.709763,39165858385.803314,43226916024.15457
COST,42032656632.14264,50632710298.49396,60225058342.56592,60392325751.59851,73903326202.58752,81736553302.75085,119090757072.0769,157993322144.9795,239867374870.72852,194173097040.479,289325456805.2578,403963878014.2969
CPAY,8196985293.422974,10403462977.449097,9999104431.691895,9900464384.013062,13462028203.691895,12992610245.718018,20128331957.718018,19086655479.101807,15659410998.845947,12849895213.691895,19770845181.38379,23675206250.898193
CPB,8879821669.533623,9287898256.62584,11389627708.5817,13398162558.950878,10946720827.317158,7759086828.335438,12041540203.467659,12127926601.155968,11256436754.51849,15178514124.433949,11922513039.065918,11932807679.32259
CPRT,4433891410.487257,4414534741.467233,4598422866.407767,6703462814.457524,10450191320.985437,11560781302.070389,22003715083.609222,30789231022.875,36685760765.031555,29465717221.07039,47423884326.0,55544014133.14078
CPT,3838950286.9966507,5177559585.746498,5588242783.423233,6667513465.29808,7556536095.124512,7482580008.996506,9293799941.667023,9081823448.811722,16636212512.931519,10717039601.672287,9898515891.603699,12007634143.915558
CRL,2610388626.8981094,3132072544.4012604,3956431683.6512604,3749726855.6449585,5386633150.756302,5570207022.79937,7518155079.611343,12296977614.09874,18543405103.30252,10724050830.512604,11634537044.012604,9085176246.987396
CRM,51993946441.65039,55875355438.23242,73859858703.61328,64495479675.29297,96309858032.22656,129038068359.375,153221520874.02344,209643281982.42188,239413328369.14062,124911723022.46094,247901578613.28125,316728174560.5469
CSCO,61222541390.56988,78350061696.66397,78835470387.87451,90766149976.00249,119147196041.77324,138891771634.75385,158076368680.45078,152565057195.5166,222380875816.82675,172428010079.97748,188456828903.3338,228024506405.64496
CSGP,7822921153.882271,7782658279.753286,8759993532.326925,7988636182.047377,12585417649.404549,14297238523.087715,25357318361.57271,39173093521.51408,33494714655.368195,32753024771.118195,37037873446.8091,30341472055.604584
CSX,14794074638.53288,19013947417.749245,13932481832.294043,19796954327.899567,30779601462.970184,35232537044.405945,41594499711.10866,52860753634.6936,66444428419.006134,55427531812.90679,62915436516.34984,59362271441.46275
CTAS,5222704687.287651,7042422875.203522,8268451663.441757,10629727296.134876,14490851527.644867,15800183520.543594,25554078184.45488,33920421077.87088,42912583512.04805,44187898241.21074,59575269465.76987,72825084137.9401
CTRA,21341294223.93698,16340666060.938477,9791512558.212631,12976967395.623962,15995518732.020325,12624881395.7016,10001394286.178131,9568740266.586838,11817085325.49762,16713290701.298798,18170792091.840607,18785433742.987
