,alpha,t_alpha,R2,n_obs,beta_MKT_excess,t_MKT_excess,beta_SMB_vw,t_SMB_vw,beta_HML_vw,t_HML_vw,beta_MOM,t_MOM
FICO,0.01787874549870135,2.889188206098903,0.4203367888208668,131.0,1.2670079560049394,8.692777731862027,0.44215041520126713,1.038497772777106,-0.2014596434880412,-0.8673960862578596,-0.1472478626992386,-0.7960052569317104
FIS,-0.0015929310402193694,-0.2855015529887244,0.3104282160824351,131.0,0.9303623679263885,7.079524308738463,0.11097637443326805,0.2890937971599033,0.34387500006355665,1.6421117528997407,0.1231866743097382,0.7385899188563959
FISV,0.008718728684737503,2.0660571427070757,0.4282143751812677,131.0,0.821328853101888,8.263169999987152,0.5058906468775556,1.7423787150149919,0.061587795139040905,0.38884312828925915,-0.14242763376161874,-1.1290458273200272
FITB,0.003659190596050645,0.7655969810399504,0.6728036362053711,131.0,1.2631215650077707,11.220204514411591,1.0180907080086916,3.0959817788653954,1.3076010705022407,7.289219942153193,0.18515190933717976,1.295900093372863
FRT,-0.006315024066318246,-1.417522929807161,0.5238186043616777,131.0,0.894752197793988,8.52703997023879,1.1403808422000143,3.720503665810509,0.14474857087195275,0.865685161536343,-0.262409577868662,-1.9704386179014661
FSLR,0.0035089124826588203,0.2848164824912232,0.18040940708694075,131.0,1.4328154038345318,4.937683698061003,0.43313109012043466,0.5109856239014651,-0.2788172934129448,-0.6029799831232825,0.08955392720586118,0.2431674065579274
FTNT,0.013660696142568637,1.692096919113656,0.24940558167424998,131.0,1.000192077977987,5.259885083258995,0.7693305490711976,1.3850393832258112,-0.7735230049543275,-2.5527967828101095,-0.11603071976128493,-0.4807879061028346
XOM,0.0017608235111196899,0.37127062137766664,0.5440505162342832,131.0,0.9303400664750252,8.328310789506343,-0.16212908593487574,-0.4968581659107371,1.212504244015202,6.811592050719928,0.004494020716578272,0.03169844599894253
BEN,-0.014518764213918966,-3.0783409541674556,0.632648611949111,131.0,1.2675881998909901,11.4105268607753,0.9929988594591379,3.06007843822575,0.3407236317655464,1.9247748274055574,-0.3200806150789236,-2.2702547129291477
DOC,-0.011019609291380343,-2.0098019816742005,0.33100111332318793,131.0,0.7532408715257605,5.832589247329826,1.3128801500779876,3.4802376170992813,-0.017049122434630005,-0.08284755752234053,-0.06276641033892966,-0.38295038490742117
FCX,0.0005184631626507816,0.04297763697578155,0.3768848783413177,131.0,1.8325165550802356,6.449305909764564,0.8966336883618243,1.08028021401733,0.5019335760515845,1.1085658164440928,-0.8333751953851777,-2.3109648691374027
GD,0.002730424771733435,0.6501152955087999,0.3986201115606205,131.0,0.793573575474831,8.022095150405882,0.3229128562126044,1.1174863984992343,0.4404888575659207,2.794381528298542,0.14040951331078005,1.1183682976614928
GE,0.0010104207912068322,0.1474486012693716,0.4265892642701944,131.0,1.0542546671050363,6.531671845998954,-0.14276676986989842,-0.3028044532542543,0.46808755413377623,1.8199358629881865,-0.7246870583902388,-3.537667679444302
GEN,-0.0032228413819172445,-0.42279840071239055,0.2573966175216864,131.0,1.1388519797343717,6.343108317413921,0.2240154395808953,0.4271388730003725,0.44563893867640947,1.557643767825262,0.39741990221113666,1.7441031308285309
GILD,-0.0010720798793858585,-0.17210453021191738,0.09450764495968189,131.0,0.5240043229071367,3.5714162372553213,-0.3542447183801977,-0.8265426759285446,0.2027977786595458,0.8673990788910172,0.08308750249171055,0.44619942547966357
GIS,-0.0003243056671032565,-0.07257566296312588,0.09248935891797416,131.0,0.29898240773988977,2.84068155261086,0.38724990940515897,1.2595764725416905,0.13491025425175646,0.8043999607694515,0.07813658552704829,0.5849504078671209
GL,0.0029208164041708952,0.6822911704077764,0.47153749192783967,131.0,0.8783130669503565,8.710744553769725,0.3124598851017452,1.0608561586221066,0.7732059120131233,4.81228416137781,0.25671021946978995,2.006027097078326
GM,-0.0031319884189603474,-0.49932847866594726,0.48000910830150745,131.0,1.3744952774428287,9.303575426152442,0.4955420565758891,1.1482684939816048,0.5425153797288441,2.3044582764170207,-0.05678644590271116,-0.30285798057076535
GNRC,-0.0012189356351513065,-0.1237475830970171,0.2785952560212597,131.0,1.2059994061492807,5.198086328975507,2.057073538705275,3.035306211935533,-0.7249898821929088,-1.9610041089611252,-0.2625719697127618,-0.8917281138685379
GPC,-0.004988070522016099,-1.1400297675045155,0.5234757940651318,131.0,0.8809376917757563,8.548093043200566,1.584829306018124,5.264569229657525,0.12675961781466086,0.771889500740193,0.001916885256181466,0.014655743940276075
GPN,0.0029841651791542873,0.4650802655959583,0.3073367195089002,131.0,0.9399950254419306,6.219723103478439,0.8576565582404064,1.9427423496963403,0.08611831775024555,0.3575948018701891,-0.09537700886367263,-0.4972524100943148
GRMN,0.0031954653989320556,0.606421443967002,0.3747762115347535,131.0,0.9480832064107225,7.638838475980622,0.846350616081888,2.3344656436767988,-0.07620535358742836,-0.38531553541580577,0.030545004001754177,0.1939138202485108
GS,0.005369401180680132,1.2619466082497126,0.6691915833460889,131.0,1.3644451264261814,13.614811828909934,-0.33933386484371136,-1.1591484838685924,0.9235084703065548,5.782912431164367,-0.048767232376979774,-0.3834170144926882
HAL,0.0020971820014757687,0.25863836112166944,0.5991881381955639,131.0,1.8949670572527388,9.921993185173573,-0.45572857415096407,-0.8168829258959173,2.500618159041287,8.216650314406996,0.35803682988164065,1.4771094142725572
