,alpha,t_alpha,R2,n_obs,beta_MKT_excess,t_MKT_excess,beta_TENY_innov,t_TENY_innov,beta_CREDIT_innov,t_CREDIT_innov
CBOE,0.00822022372511874,1.5857637106574258,0.137764836115997,131.0,0.28539612040811313,1.8202692145184314,-2.742916751925733,-1.10725806937306,-6.702723213840655,-1.8838746825602426
CBRE,0.0037620153264579415,0.685668538275556,0.5400218333423852,131.0,1.2597007054124247,7.590908491281368,-2.163089807436471,-0.8249917441682973,-8.370655978513565,-2.2227931096235842
CCL,-0.010098270987848162,-0.9752543378650894,0.4155035457153877,131.0,1.8899569963849003,6.03469762076075,4.027284673392131,0.8138878943235266,-11.391536108514318,-1.6028727568123093
CDNS,0.014681540875822545,2.9423987425190545,0.43044062847622133,131.0,1.157521444237392,7.669934492908043,-2.4794645314139947,-1.0398463638651252,3.6470148625613787,1.0649109859994317
CDW,0.006983633265354027,1.428819829016438,0.41863604775430074,131.0,1.0735247052179675,7.261741894447099,2.7562627629015046,1.1800435929145539,0.08463362829788834,0.025228120108739482
CF,0.0010913900565194682,0.131906655471759,0.2358876741933823,131.0,0.8468737812051855,3.3840605508374098,8.880099880903268,2.2458769427470537,-7.125267644946906,-1.2546823392758941
CHD,0.006667485120708891,1.4759128106532544,0.18452326080040193,131.0,0.28047604732627535,2.052707868828858,-6.652541467707155,-3.081538706906011,-4.491483487165875,-1.4485528370394647
CHRW,-0.001368659245677699,-0.25778228901139877,0.23993613017585125,131.0,0.7474072332699196,4.654229111987078,-2.3317139312919357,-0.9189976427405371,0.6400816283927235,0.17564629320819683
CHTR,-0.0004839026738516519,-0.07101941560388944,0.31270772947143344,131.0,1.1607313505128798,5.6322705543089615,-5.042226760755101,-1.5485414518716325,3.097337790167469,0.6622981322672533
CMG,0.007401522954642712,0.9662588327187462,0.2429486243570037,131.0,0.9924693222227823,4.2837310815802745,-4.931051463147956,-1.3470797614055843,-1.9805773616129443,-0.37671254562562784
CNC,0.004625594659705127,0.6361753054196798,0.13568792148680442,131.0,0.9356842970364003,4.2547230558239395,2.0620097861054187,0.5934461898234235,11.905675299785813,2.3856633271210126
CNP,-0.0009407822498642207,-0.20800857092379385,0.3752560992877746,131.0,0.4577554100795818,3.346249527492645,-2.7574543599170074,-1.2757977683605277,-12.186792667286257,-3.9257932558435877
COF,-0.0003907062154999984,-0.06856650375964435,0.5136466488691398,131.0,1.1758212706575533,6.82237706719039,3.3841896363135353,1.2427900449852682,-9.993518559149566,-2.55520644842187
COR,0.002531694183156368,0.47066492040230157,0.1973908799340437,131.0,0.8571342438868709,5.2684414103988,3.8763379443826476,1.5080078734389621,7.507374522050606,2.033454951283275
CPB,-0.003993732504700008,-0.7914303322416147,0.08714341447227236,131.0,0.4970548912335597,3.2566477872855875,0.9441610446113706,0.3915265210714945,7.704136209338335,2.2243522165150282
CPT,0.0012950434108388075,0.33638981331219764,0.4887983134110103,131.0,0.4403537801666023,3.781751255234916,-11.01324876547174,-5.986256865378256,-10.619684925201852,-4.0189816909712714
CRL,0.0015800172718255915,0.24695652779046454,0.4043403876332545,131.0,1.160288596206311,5.995941974213995,-7.188687677408203,-2.3512005848907807,-3.26308485028523,-0.7430754777061304
CVX,-0.005545075369478185,-1.031097964359666,0.41724040034948984,131.0,1.0230505586622427,6.289589397334971,6.216793365445685,2.4190246736573213,-3.93520992695107,-1.0661204343435746
SCHW,0.001570540223900088,0.2504202735224091,0.41134585568869453,131.0,1.0858556375374055,5.724337532454875,12.472658686968808,4.161604932062774,-3.946467494332118,-0.916800493301653
C,-0.006470004583825326,-1.2342549344946743,0.5880079499399666,131.0,1.3877473508209408,8.752727593114738,5.976889878439789,2.3859257690085327,-6.749980316722426,-1.8760684362300437
